Table 3A. Higher Education Enrollment and Graduates in State Universities and Colleges,,,,,,,,,
Region,SUC Name,,Enrollment,,,Graduates,,,
,Northwestern Mindanao State College of Science and Technology,,"1,326","2,584","3,418",263,340,357,
,University of Science and Technology of Southern Philippines,,"9,965","11,359","11,085","1,738","2,007","2,303",
,University of Science and Technology of Southern Philippines - Claver,,752,"1,437","2,143",250,322,286,
Davao Region,Compostela Valley State College,,"4,291","4,850","5,703",-,998,867,
,Davao del Norte State College,,"1,827","3,165","3,542",494,822,719,
,Davao Oriental State College of Science and Technology,,"9,143","9,162","7,718","3,117","3,130","2,043",
,Southern Philippines Agri-business and Marine and Aquatic School of,,"3,103","4,695","5,942",613,827,984,
,University of Southeastern Philippines,,"13,154","11,271","9,126","3,258","3,477","3,496",
Soccsksargen,Cotabato City State Polytechnic College,,"7,471","7,329","6,489","2,046","1,980","2,055",
,Cotabato Foundation College of Science and Technology,,"5,511","3,454","3,456","1,115",892,971,
,Sultan Kudarat State University,,"11,487","10,849","8,795","2,953","3,094","2,961",
,University of Southern Mindanao,,"11,508","13,026","13,873","3,410","3,621","3,654",
National Capital Region,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",,"22,011","22,011","21,536","3,217","3,217","5,645",
,Marikina Polytechnic College,,"4,867","4,805","3,873","1,421","1,962","2,189",
,Philippine Normal University,,"6,544","7,895","5,300","1,852","2,276","1,544",
,Philippine State College of Aeronautics,,"9,490","10,853","11,020","3,717","3,323","3,200",
,Polytechnic University of the Philippines,,"53,820","58,167","56,928","15,508","16,099","18,622",
,Rizal Technological University,,"18,550","22,895","22,932","5,811","6,166","7,272",
,Technological University of the Philippines,,"16,454","19,527","18,890","5,645","6,823","5,398",
,University of the Philippines,,"57,403","57,139","57,387","9,427","9,635","9,715",
Cordillera Administrative Regi,Abra State Institute of Science and Technology,,"2,723","2,908","3,732","1,124",992,804,
,Apayao State College,,"2,080","2,586","2,797",322,416,492,
,Benguet State University,,"7,548","7,419","7,514","1,812","1,797","1,804",
,Ifugao State University,,"4,639","5,458","5,966","1,675","1,278","1,330",
,Kalinga State University,,"4,186","4,876","4,028",800,940,750,
,Mountain Province State Polytechnic College,,"3,612","3,695","3,862",835,794,761,
BARMM,Adiong Memorial Polytechnic State College,,"3,142","3,142","3,142",443,443,443,
,Mindanao State University,,"31,980","28,773","28,189","6,281","5,002","5,487",
,Mindanao State University-Tawi-Tawi College of Technology and Oce,,"3,075","1,890","1,890",308,429,429,
,Sulu State College,,"5,196","6,725","3,785","1,100","1,100",874,
,Tawi-Tawi Regional Agricultural College,,"3,825","2,894","2,894",349,309,309,
Caraga,Agusan del Sur State College of Agriculture and Technology,,"3,582","4,225","5,594",532,"1,153","1,177",
,Caraga State University,,"5,587","7,101","8,448","1,105","1,372",591,
,Surigao del Sur State University,,"9,483","10,558","14,043","2,225","2,543","2,668",
,Surigao State College of Technology,,"9,632","11,049","10,228","2,013","2,640","2,871",
MIMAROPA,Marinduque State College,,"4,703","5,252","5,734","1,348","1,319","1,507",
,Mindoro State College of Agriculture and Technology,,"4,731","5,978","7,648","2,078","1,775","1,599",
,Occidental Mindoro State College,,"7,044","8,449","10,341","2,649","2,668","2,698",
,Palawan State University,,"16,387","24,678","17,979","4,302","6,074","4,845",
,Romblon State University,,"8,167","9,109","10,577","1,907","2,221","2,433",
,Western Philippines University,,"5,393","7,477","9,324","1,195","1,297","1,387",
Grand Total,,,"1,181,203","1,303,561","1,321,773","302,669","325,157","340,096",
Note:,,,,,,,,,
Based on the submission of State Universities and Colleges (SUCs),,,,,,,,,
Based on the Region where the Main campus is located,,,,,,,,,
Includes SUCs main campus and satellite/extension campuses,,,,,,,,,
Includes pre-baccalaureate up to doctoral programs,,,,,,,,,
"as of July 30, 2020",,,,,,,,,
